dataset,seed,method,metric,value,source_summary
CSE-CIC-IDS2018,49,dp,f1,0.9830577442385233,experiments/02_multiseed/results/CSECICIDS2018/seed_49/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,49,dp,roc_auc,0.9993012599702229,experiments/02_multiseed/results/CSECICIDS2018/seed_49/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,50,centralized,accuracy,0.9996022231061709,experiments/02_multiseed/results/CSECICIDS2018/seed_50/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,50,centralized,precision,0.9992277992277993,experiments/02_multiseed/results/CSECICIDS2018/seed_50/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,50,centralized,recall,0.9942192302063515,experiments/02_multiseed/results/CSECICIDS2018/seed_50/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,50,centralized,f1,0.9967172226603334,experiments/02_multiseed/results/CSECICIDS2018/seed_50/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,50,centralized,roc_auc,0.9998699301083134,experiments/02_multiseed/results/CSECICIDS2018/seed_50/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,50,nondp,accuracy,0.9992200017333295,experiments/02_multiseed/results/CSECICIDS2018/seed_50/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,50,nondp,precision,0.9946467201994647,experiments/02_multiseed/results/CSECICIDS2018/seed_50/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,50,nondp,recall,0.9924996341284941,experiments/02_multiseed/results/CSECICIDS2018/seed_50/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,50,nondp,f1,0.9935720172145408,experiments/02_multiseed/results/CSECICIDS2018/seed_50/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,50,nondp,roc_auc,0.9997507208705423,experiments/02_multiseed/results/CSECICIDS2018/seed_50/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,50,dp,accuracy,0.9977800049333224,experiments/02_multiseed/results/CSECICIDS2018/seed_50/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,50,dp,precision,0.9941823368239312,experiments/02_multiseed/results/CSECICIDS2018/seed_50/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,50,dp,recall,0.9691204448997512,experiments/02_multiseed/results/CSECICIDS2018/seed_50/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,50,dp,f1,0.9814914312181565,experiments/02_multiseed/results/CSECICIDS2018/seed_50/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,50,dp,roc_auc,0.9984590070648096,experiments/02_multiseed/results/CSECICIDS2018/seed_50/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,51,centralized,accuracy,0.9996555563209859,experiments/02_multiseed/results/CSECICIDS2018/seed_51/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,51,centralized,precision,0.997258371106887,experiments/02_multiseed/results/CSECICIDS2018/seed_51/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,51,centralized,recall,0.997076130258397,experiments/02_multiseed/results/CSECICIDS2018/seed_51/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,51,centralized,f1,0.9971672423561233,experiments/02_multiseed/results/CSECICIDS2018/seed_51/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,51,centralized,roc_auc,0.9999131795867237,experiments/02_multiseed/results/CSECICIDS2018/seed_51/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,51,nondp,accuracy,0.9994688900691332,experiments/02_multiseed/results/CSECICIDS2018/seed_51/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,51,nondp,precision,0.9968491243496739,experiments/02_multiseed/results/CSECICIDS2018/seed_51/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,51,nondp,recall,0.9944080991191843,experiments/02_multiseed/results/CSECICIDS2018/seed_51/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,51,nondp,f1,0.9956271155429512,experiments/02_multiseed/results/CSECICIDS2018/seed_51/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,51,nondp,roc_auc,0.9997051194365576,experiments/02_multiseed/results/CSECICIDS2018/seed_51/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,51,dp,accuracy,0.9979222268394959,experiments/02_multiseed/results/CSECICIDS2018/seed_51/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,51,dp,precision,0.9810675016383893,experiments/02_multiseed/results/CSECICIDS2018/seed_51/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,51,dp,recall,0.9848324257154344,experiments/02_multiseed/results/CSECICIDS2018/seed_51/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,51,dp,f1,0.9829463585459719,experiments/02_multiseed/results/CSECICIDS2018/seed_51/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,51,dp,roc_auc,0.998958595032439,experiments/02_multiseed/results/CSECICIDS2018/seed_51/full_dp/global_ensemble_summary.json
CICIoV2024,42,centralized,accuracy,0.9999905317824394,experiments/02_multiseed/results/CICIoV2024/seed_42/centralized/centralized_xgboost_CICIoV2024_summary.json
CICIoV2024,42,centralized,precision,1.0,experiments/02_multiseed/results/CICIoV2024/seed_42/centralized/centralized_xgboost_CICIoV2024_summary.json
CICIoV2024,42,centralized,recall,0.9999277247759468,experiments/02_multiseed/results/CICIoV2024/seed_42/centralized/centralized_xgboost_CICIoV2024_summary.json
CICIoV2024,42,centralized,f1,0.9999638610819992,experiments/02_multiseed/results/CICIoV2024/seed_42/centralized/centralized_xgboost_CICIoV2024_summary.json
